user,text_review,sentiment_review,sentiment_score,rate,time_visit,language,platform
ngoc t,"Very reasonably priced... salmon or tuna on rice bowl... sauces, fresh vegetable.... my friend is NOT a fan of rice, however, once tasted he really enthused...; Clean, friendly, a must for people that like affordable,clean and healthy food....",POSITIVE,0.995662271976471,5,2016-07-01 00:00,en,tripadvisor
EmilyDoan,"My first time trying poke. The restaurant is cute, great decorations and very friendly staffs. You can choose anything you like for toppings or can rely on their helpful staffs for a wonderful combination. Def come back !!!",POSITIVE,0.9998279809951782,5,2017-01-01 00:00,en,tripadvisor
tonypeezy,Saw Saigon Poke on facebook and was of course skeptical since it recently opened its doors. What a pleasant surprise! Im from California so we have some really great Poke restaurants and Saigon Poke is up there with the best. The environment itself is nice and the service is really attentive with the servers offering insight as to what combination suits your pallet most. This is especially important for new Poke consumers. For me Ive had it many times before so I went straight for the Norwegian Imported salmon bowl with spicy mayo and every topping. Salmon was out of this world fresh and went great with the spicy mayo sauce. Overall great experience. Been back twice and will be back often. A+++++,POSITIVE,0.9996671676635742,5,2017-01-01 00:00,en,tripadvisor
Ugo S,"I spent a very pleasant moment in this place, where I ate a very good poké! the food is very fresh and the staff is attentive.",POSITIVE,0.9998345375061036,5,2017-01-01 00:00,en,tripadvisor
Julien K,"This is was not my first poke rodeo and it's tout this day one my favorite poke place.; ; First of all, I was surprised by how cheap it was given the type of ingredients available. They had tons of really interesting and unique options. I opted for a poke with salmon, ahi tuna, sriracha aioli, mango, masago, seaweed salad, and ogo seaweed. Everything was super fresh and absolute perfection.",POSITIVE,0.9975263476371764,5,2017-02-01 00:00,en,tripadvisor
mathosbob,"Went to poke saigon because I wanted to have a nice alternative from sushi and other classic chirashis. I was not disappointed, everything looks (and tastes fresh) and you have enough topings choice that you can make a really unique meal that tastes unlike anything you've tasted in saigon.",POSITIVE,0.999589502811432,5,2017-02-01 00:00,en,tripadvisor
PierreAlainTieu,"I Went for poke, the 1st in Saigon and for the 1st time of my life. The place is very clean and cute. Staff were really friendly, and could advise on what to pick. Concept was kind of new to me but Absolutely loved it ! I love how poke gives you the ability to customise your bowl. It is very fresh, tasty, and healthy.; ; I Higly recommend this place.",POSITIVE,0.9998763799667358,5,2017-02-01 00:00,en,tripadvisor
151maximep,"In a very nice environnement, with an excellent service, and fresh ingredients. I took the salmon POKE and It's was simply delicious. First time but not the last.",POSITIVE,0.9998712539672852,5,2017-02-01 00:00,en,tripadvisor
richardkQ4927IR,Great salmon and tuna poke in a very friendly place with nice staff. Definitely my new lunch HQ.; So tasty and fresh!,POSITIVE,0.9998722076416016,5,2017-02-01 00:00,en,tripadvisor
Marin P,"Fresh and tasty !; ; Feels nice to have healthy food in HCMC.; ; Staff is very friendly !; ; I came with friends, and although the place is a little hidden in the building, none of us had any probleme to find it",POSITIVE,0.9997652173042296,5,2017-02-01 00:00,en,tripadvisor
706alexandret,"Finally find some amazing healthy food in Saigon ! I didn't know anything about Poke, but the staff guide me through and gave me some recommendation. I don't regret trying ! the food was amazing and the fish was really Fresh !!; ; Highly recommend ! i will be back !",POSITIVE,0.9997878670692444,5,2017-02-01 00:00,en,tripadvisor
jarod496,Petit resto branché avec de bons produits frais et de beaux mélanges de saveurs à concocter.; La deco est top. À tester,POSITIVE,0.9998422861099244,5,2017-02-01 00:00,fr,tripadvisor
Helene_twi,"Im a huge fan of Poke and have been waiting for a place to get my weekly fix since ive moved to Saigon. Im so glad this place has opened, i have lunch there about twice a week and started to use the delivery service for dinner.; I always get the mix brown rice/salad with salmon and spicy tuna, edamame, cherry tomatoes, radish, avocado and the onsen egg that makes it all so tasty.; The spicy tuna is full of flavour with a kick, the ingredients are always fresh - hits the spot every time!! Also love the upbeat and quick service staff!!; The place is small but charming and comfy, the staff is very friendly, and the service pretty quick!; Value-for-money wise it is definitely better than the poke places i used to go in Singapore. i highly reco this place to all healthy food lovers in HCMC.",POSITIVE,0.9997223019599916,5,2017-02-01 00:00,en,tripadvisor
Alex_MGB,"A really good discovery. I didn't know poke but I've found it really tasty. I live in Vietnam and it's hard to find places with fresh and healthy products. So definitely a must try if you like raw fish, salads, with a Japanese twist. The shop is also really nice, and the staff is friendly.",POSITIVE,0.9997774958610536,5,2017-02-01 00:00,en,tripadvisor
tieuminh2017,"Délicieux ! Une bonne association de poisson frais, d’échalotes, de riz blanc, et des légumes au choix... toute la fraicheur dans un bol rond et appétissant. L'ambiance du restaurant est très agréable, nous avons du mal à quitter les lieux pour affronter à nouveau la chaleur extérieure. Excellent endroit pour un déjeuner après une promenade dans le plus beau quartier de Ho Chi Minh.",POSITIVE,0.9998125433921814,5,2017-02-01 00:00,fr,tripadvisor
vercel,"Fresh and tasteful !!! I could have been in Hawaï ! It was my first Poke since a long time. It's good to finally have the opportunity to get one here in Saigon with fresh product. The staff is kind, helpful, they know their job ! I'll be back for sure; It was great !",POSITIVE,0.999810516834259,5,2017-02-01 00:00,en,tripadvisor
annpxx,Stumbled across this pretty cafe on the second floor of the cafe apartment. Tried the Chef recommended bowl and was totally surprised. Full of flavours and the ingredients were so fresh and refreshing!! Love the umami from the blend with the sauces! I've tried alot of Poke in Singapore but I think this is handsdown better. What a surprise and will definitely be back for more!,POSITIVE,0.9993863105773926,5,2017-02-01 00:00,en,tripadvisor
aaronchiang,"First Poke shop in Saigon! Despite being the first, they really do it right. The fish is so fresh and the sauces pair perfectly (spicy mayo!!!) So many toppings and they're delicious! The space itself is cool and chill. Seems geared toward girls who like fresh and healthy food. This is my new go-to spot!",POSITIVE,0.999826729297638,5,2017-02-01 00:00,en,tripadvisor
I6035QQalexc,This place is legit. I've tried poke all over the world and this place is way better than all of them. The fish is so fresh and clean. I recommend the spicy tuna. Their cold pressed juices are also delicious. This is my new favorite place in HCM.,POSITIVE,0.9998258948326112,5,2017-02-01 00:00,en,tripadvisor
oliviert677,"I've heard about this address thanks to a friend, the restaurant is hidden on the Main Street into the second floor of the cafe apartment .When you come into Poke Saigon, you're first surprised by the sophisticated decorative and friendly atmosphere. And then you choose how to compose your bowl , the Chef is really helpful. I ve loved the fresh salmon associated to the crispy onions. So much flavors, so much tastes... and in the same time so healthy !!! I think I've composed the best bowl !; Highly recommended ",POSITIVE,0.999829649925232,5,2017-02-01 00:00,en,tripadvisor
Jnoel1989,"If you want to eat great food, made from fresh products and for a good price in the heart of Saigon, don't hesitate. We went there with friends and had a great time. To add to the experience, the staff was very welcoming. I will definetely go back next time I visit Saigon.",POSITIVE,0.9997509121894836,5,2017-02-01 00:00,en,tripadvisor
Gletcher R,"First (and second) time we had a poke. We were not familiar with the concept, therefore I would like to describe it as a ""create your own california roll in a bowl"". Really nice and honest flavours. They use fresh ingredients and offer a friendly service, eager to explain each ingredient. Poke Saigon is hidden in an old apartment building with all kind of hipster boutiques, coffee bars and pop-up shops. They really stand out from their neighbours in cleanliness, quality and service.",POSITIVE,0.9977104663848876,5,2017-02-01 00:00,en,tripadvisor
patoub12,Lovely place running by lovely guys making awesome food ! You should try once and will come back surely !!!,POSITIVE,0.9998339414596558,5,2017-03-01 00:00,en,tripadvisor
JamieB3248,"The moment I walked in, I was greeted by a sweet girl who explained, in perfect English, how the ordering process works. After telling her some things I wanted, she gave me recommendations and I LOVED my bowl! Both the girls were so sweet and friendly to talk to and the place had a great atmosphere. And fast wifi which never hurts!s",POSITIVE,0.9998457431793212,5,2017-03-01 00:00,en,tripadvisor
StellaL1448,베트남에서 감미료 안쓰는 곳 별로 없는데 여기는 외국인이 운영하는 곳이라 그럴 걱정없이 먹을수 있어 좋아요. 일주일에 한두번은 꼭 들르는 곳이네요 추천!,POSITIVE,0.995241641998291,5,2017-03-01 00:00,ko,tripadvisor
tranngocthuy,"The food creation was eye catching , different tastes and structures combined into one delicious dish ,Fresh food fast and perfect service .",POSITIVE,0.9998273253440856,5,2017-03-01 00:00,en,tripadvisor
Tiến N,"Nice and healthy food for your precious bodies for your curious mind if you haven't try before. There're a pretty wide varieties of toppings you can choose for your base ingredient so you just can't go wrong (unless it's the end of month and your salary payment hasn't come yet lol). Nice space but a bit small, hope you guys can expand your place in near future.; Comeback-ability: it's a yass.",POSITIVE,0.9993001222610474,5,2017-04-01 00:00,en,tripadvisor
BeckyS2718,Super healthy option in Saigon. I am glad I found this place. The salmon were amazing. The staff were super friendly. I will recommend this to anyone visiting Ho Chi Minh city.,POSITIVE,0.9997902512550354,5,2017-04-01 00:00,en,tripadvisor
sonq459,Real clean and modern place. Owner was helpful in choosing the right toppings for my bowl. Also they deliver!!!!!,POSITIVE,0.9998348951339722,5,2017-04-01 00:00,en,tripadvisor
jessinjapan,"Came here on suggestion from the staff at a beer place ... So glad I made the effort to try it out! Great concept and delicious, fresh flavoured food. Spot on, very satisfying and top notch service",POSITIVE,0.999870538711548,5,2017-04-01 00:00,en,tripadvisor
