user,text_review,sentiment_review,sentiment_score,rate,time_visit,language,platform
ngoc t,"Very reasonably priced... salmon or tuna on rice bowl... sauces, fresh vegetable.... my friend is NOT a fan of rice, however, once tasted he really enthused...; Clean, friendly, a must for people that like affordable,clean and healthy food....",POSITIVE,0.995662272,5,7/1/2016 0:00,en,tripadvisor
EmilyDoan,"My first time trying poke. The restaurant is cute, great decorations and very friendly staffs. You can choose anything you like for toppings or can rely on their helpful staffs for a wonderful combination. Def come back !!!",POSITIVE,0.999827981,5,1/1/2017 0:00,en,tripadvisor
Ugo S,"I spent a very pleasant moment in this place, where I ate a very good poké! the food is very fresh and the staff is attentive.",POSITIVE,0.999834538,5,1/1/2017 0:00,en,tripadvisor
tonypeezy,Saw Saigon Poke on facebook and was of course skeptical since it recently opened its doors. What a pleasant surprise! Im from California so we have some really great Poke restaurants and Saigon Poke is up there with the best. The environment itself is nice and the service is really attentive with the servers offering insight as to what combination suits your pallet most. This is especially important for new Poke consumers. For me Ive had it many times before so I went straight for the Norwegian Imported salmon bowl with spicy mayo and every topping. Salmon was out of this world fresh and went great with the spicy mayo sauce. Overall great experience. Been back twice and will be back often. A+++++,POSITIVE,0.999667168,5,1/1/2017 0:00,en,tripadvisor
Helene_twi,"Im a huge fan of Poke and have been waiting for a place to get my weekly fix since ive moved to Saigon. Im so glad this place has opened, i have lunch there about twice a week and started to use the delivery service for dinner.; I always get the mix brown rice/salad with salmon and spicy tuna, edamame, cherry tomatoes, radish, avocado and the onsen egg that makes it all so tasty.; The spicy tuna is full of flavour with a kick, the ingredients are always fresh - hits the spot every time!! Also love the upbeat and quick service staff!!; The place is small but charming and comfy, the staff is very friendly, and the service pretty quick!; Value-for-money wise it is definitely better than the poke places i used to go in Singapore. i highly reco this place to all healthy food lovers in HCMC.",POSITIVE,0.999722302,5,2/1/2017 0:00,en,tripadvisor
oliviert677,"I've heard about this address thanks to a friend, the restaurant is hidden on the Main Street into the second floor of the cafe apartment .When you come into Poke Saigon, you're first surprised by the sophisticated decorative and friendly atmosphere. And then you choose how to compose your bowl , the Chef is really helpful. I ve loved the fresh salmon associated to the crispy onions. So much flavors, so much tastes... and in the same time so healthy !!! I think I've composed the best bowl !; Highly recommended ",POSITIVE,0.99982965,5,2/1/2017 0:00,en,tripadvisor
I6035QQalexc,This place is legit. I've tried poke all over the world and this place is way better than all of them. The fish is so fresh and clean. I recommend the spicy tuna. Their cold pressed juices are also delicious. This is my new favorite place in HCM.,POSITIVE,0.999825895,5,2/1/2017 0:00,en,tripadvisor
aaronchiang,"First Poke shop in Saigon! Despite being the first, they really do it right. The fish is so fresh and the sauces pair perfectly (spicy mayo!!!) So many toppings and they're delicious! The space itself is cool and chill. Seems geared toward girls who like fresh and healthy food. This is my new go-to spot!",POSITIVE,0.999826729,5,2/1/2017 0:00,en,tripadvisor
annpxx,Stumbled across this pretty cafe on the second floor of the cafe apartment. Tried the Chef recommended bowl and was totally surprised. Full of flavours and the ingredients were so fresh and refreshing!! Love the umami from the blend with the sauces! I've tried alot of Poke in Singapore but I think this is handsdown better. What a surprise and will definitely be back for more!,POSITIVE,0.999386311,5,2/1/2017 0:00,en,tripadvisor
vercel,"Fresh and tasteful !!! I could have been in Hawaï ! It was my first Poke since a long time. It's good to finally have the opportunity to get one here in Saigon with fresh product. The staff is kind, helpful, they know their job ! I'll be back for sure; It was great !",POSITIVE,0.999810517,5,2/1/2017 0:00,en,tripadvisor
PierreAlainTieu,"I Went for poke, the 1st in Saigon and for the 1st time of my life. The place is very clean and cute. Staff were really friendly, and could advise on what to pick. Concept was kind of new to me but Absolutely loved it ! I love how poke gives you the ability to customise your bowl. It is very fresh, tasty, and healthy.; ; I Higly recommend this place.",POSITIVE,0.99987638,5,2/1/2017 0:00,en,tripadvisor
mathosbob,"Went to poke saigon because I wanted to have a nice alternative from sushi and other classic chirashis. I was not disappointed, everything looks (and tastes fresh) and you have enough topings choice that you can make a really unique meal that tastes unlike anything you've tasted in saigon.",POSITIVE,0.999589503,5,2/1/2017 0:00,en,tripadvisor
Jnoel1989,"If you want to eat great food, made from fresh products and for a good price in the heart of Saigon, don't hesitate. We went there with friends and had a great time. To add to the experience, the staff was very welcoming. I will definetely go back next time I visit Saigon.",POSITIVE,0.999750912,5,2/1/2017 0:00,en,tripadvisor
Julien K,"This is was not my first poke rodeo and it's tout this day one my favorite poke place.; ; First of all, I was surprised by how cheap it was given the type of ingredients available. They had tons of really interesting and unique options. I opted for a poke with salmon, ahi tuna, sriracha aioli, mango, masago, seaweed salad, and ogo seaweed. Everything was super fresh and absolute perfection.",POSITIVE,0.997526348,5,2/1/2017 0:00,en,tripadvisor
Alex_MGB,"A really good discovery. I didn't know poke but I've found it really tasty. I live in Vietnam and it's hard to find places with fresh and healthy products. So definitely a must try if you like raw fish, salads, with a Japanese twist. The shop is also really nice, and the staff is friendly.",POSITIVE,0.999777496,5,2/1/2017 0:00,en,tripadvisor
151maximep,"In a very nice environnement, with an excellent service, and fresh ingredients. I took the salmon POKE and It's was simply delicious. First time but not the last.",POSITIVE,0.999871254,5,2/1/2017 0:00,en,tripadvisor
richardkQ4927IR,Great salmon and tuna poke in a very friendly place with nice staff. Definitely my new lunch HQ.; So tasty and fresh!,POSITIVE,0.999872208,5,2/1/2017 0:00,en,tripadvisor
Marin P,"Fresh and tasty !; ; Feels nice to have healthy food in HCMC.; ; Staff is very friendly !; ; I came with friends, and although the place is a little hidden in the building, none of us had any probleme to find it",POSITIVE,0.999765217,5,2/1/2017 0:00,en,tripadvisor
706alexandret,"Finally find some amazing healthy food in Saigon ! I didn't know anything about Poke, but the staff guide me through and gave me some recommendation. I don't regret trying ! the food was amazing and the fish was really Fresh !!; ; Highly recommend ! i will be back !",POSITIVE,0.999787867,5,2/1/2017 0:00,en,tripadvisor
