user,text_review,sentiment_review,sentiment_score,rate,time_visit,language,platform
ngoc t,"Very reasonably priced... salmon or tuna on rice bowl... sauces, fresh vegetable.... my friend is NOT a fan of rice, however, once tasted he really enthused...; Clean, friendly, a must for people that like affordable,clean and healthy food....",POSITIVE,0.995662271976471,5,2016-07-01 00:00,en,tripadvisor
tonypeezy,Saw Saigon Poke on facebook and was of course skeptical since it recently opened its doors. What a pleasant surprise! Im from California so we have some really great Poke restaurants and Saigon Poke is up there with the best. The environment itself is nice and the service is really attentive with the servers offering insight as to what combination suits your pallet most. This is especially important for new Poke consumers. For me Ive had it many times before so I went straight for the Norwegian Imported salmon bowl with spicy mayo and every topping. Salmon was out of this world fresh and went great with the spicy mayo sauce. Overall great experience. Been back twice and will be back often. A+++++,POSITIVE,0.9996671676635742,5,2017-01-01 00:00,en,tripadvisor
EmilyDoan,"My first time trying poke. The restaurant is cute, great decorations and very friendly staffs. You can choose anything you like for toppings or can rely on their helpful staffs for a wonderful combination. Def come back !!!",POSITIVE,0.9998279809951782,5,2017-01-01 00:00,en,tripadvisor
Ugo S,"I spent a very pleasant moment in this place, where I ate a very good pokÃ©! the food is very fresh and the staff is attentive.",POSITIVE,0.9998345375061036,5,2017-01-01 00:00,en,tripadvisor
706alexandret,"Finally find some amazing healthy food in Saigon ! I didn't know anything about Poke, but the staff guide me through and gave me some recommendation. I don't regret trying ! the food was amazing and the fish was really Fresh !!; ; Highly recommend ! i will be back !",POSITIVE,0.9997878670692444,5,2017-02-01 00:00,en,tripadvisor
Marin P,"Fresh and tasty !; ; Feels nice to have healthy food in HCMC.; ; Staff is very friendly !; ; I came with friends, and although the place is a little hidden in the building, none of us had any probleme to find it",POSITIVE,0.9997652173042296,5,2017-02-01 00:00,en,tripadvisor
richardkQ4927IR,Great salmon and tuna poke in a very friendly place with nice staff. Definitely my new lunch HQ.; So tasty and fresh!,POSITIVE,0.9998722076416016,5,2017-02-01 00:00,en,tripadvisor
151maximep,"In a very nice environnement, with an excellent service, and fresh ingredients. I took the salmon POKE and It's was simply delicious. First time but not the last.",POSITIVE,0.9998712539672852,5,2017-02-01 00:00,en,tripadvisor
Alex_MGB,"A really good discovery. I didn't know poke but I've found it really tasty. I live in Vietnam and it's hard to find places with fresh and healthy products. So definitely a must try if you like raw fish, salads, with a Japanese twist. The shop is also really nice, and the staff is friendly.",POSITIVE,0.9997774958610536,5,2017-02-01 00:00,en,tripadvisor
aaronchiang,"First Poke shop in Saigon! Despite being the first, they really do it right. The fish is so fresh and the sauces pair perfectly (spicy mayo!!!) So many toppings and they're delicious! The space itself is cool and chill. Seems geared toward girls who like fresh and healthy food. This is my new go-to spot!",POSITIVE,0.999826729297638,5,2017-02-01 00:00,en,tripadvisor
Gletcher R,"First (and second) time we had a poke. We were not familiar with the concept, therefore I would like to describe it as a ""create your own california roll in a bowl"". Really nice and honest flavours. They use fresh ingredients and offer a friendly service, eager to explain each ingredient. Poke Saigon is hidden in an old apartment building with all kind of hipster boutiques, coffee bars and pop-up shops. They really stand out from their neighbours in cleanliness, quality and service.",POSITIVE,0.9977104663848876,5,2017-02-01 00:00,en,tripadvisor
PierreAlainTieu,"I Went for poke, the 1st in Saigon and for the 1st time of my life. The place is very clean and cute. Staff were really friendly, and could advise on what to pick. Concept was kind of new to me but Absolutely loved it ! I love how poke gives you the ability to customise your bowl. It is very fresh, tasty, and healthy.; ; I Higly recommend this place.",POSITIVE,0.9998763799667358,5,2017-02-01 00:00,en,tripadvisor
vercel,"Fresh and tasteful !!! I could have been in HawaÃ¯ ! It was my first Poke since a long time. It's good to finally have the opportunity to get one here in Saigon with fresh product. The staff is kind, helpful, they know their job ! I'll be back for sure; It was great !",POSITIVE,0.999810516834259,5,2017-02-01 00:00,en,tripadvisor
I6035QQalexc,This place is legit. I've tried poke all over the world and this place is way better than all of them. The fish is so fresh and clean. I recommend the spicy tuna. Their cold pressed juices are also delicious. This is my new favorite place in HCM.,POSITIVE,0.9998258948326112,5,2017-02-01 00:00,en,tripadvisor
annpxx,Stumbled across this pretty cafe on the second floor of the cafe apartment. Tried the Chef recommended bowl and was totally surprised. Full of flavours and the ingredients were so fresh and refreshing!! Love the umami from the blend with the sauces! I've tried alot of Poke in Singapore but I think this is handsdown better. What a surprise and will definitely be back for more!,POSITIVE,0.9993863105773926,5,2017-02-01 00:00,en,tripadvisor
