user,text_review,sentiment_review,sentiment_score,rate,time_visit,language,platform
A N,Fresh & tasty Poke bowl. Friendly staff with quick service. They even come to ask if you want some free add ons after finishing. …,POSITIVE,0.9988740086555481,5,2023-10-18 11:38,en,google_map
Thanh Nguyen,"Một quán ăn healthy với không gian ấm cúng. Nguyên vật liệu sạch sẽ. Menu đa dạng, ăn rất vừa miệng mà còn no. Quán có cho cơm thêm và salad nếu mọi người thấy đói.",POSITIVE,0.9997795224189758,5,2023-07-26 11:38,vi,google_map
Maarten Thaline Lieben Stas,"A hidden gem in an old apartment building. Tasteful and very fresh poké bowls. You can choose your base (rice, brown rice, salad, combi) and 2 proteïnes. They offer vegan tuna as an option! For the veggies; you are not limited, but you are …",POSITIVE,0.9992247819900513,5,2023-11-01 11:38,en,google_map
Eno W,Top quality poke bowl in town. Staff is friendly and they are very proactive to assist you. Lots of choices for the toppings and all are really fresh! Highly recommended!,POSITIVE,0.9998782873153687,5,2023-11-08 11:38,en,google_map
Pha Foodie, Đầu tiên khi ord các bạn sẽ được nhân viên hướng dẫn chọn các phần base - poke - sauce - topping - crisps nèe  tất cả đều theo ý thích bạn  nếu hong biết ăn gì thì cứ hỏi nhân viên sẽ suggest cho bạn luôn nhee  …,NEGATIVE,0.9111045598983765,5,2023-10-18 11:38,vi,google_map
Thomas Nguyen,Consistently great - poke bowls here (and at their other locations) are always delicious. Staff are friendly and super generous with the toppings! Restaurant is clean and bright. Lunchtimes are always super busy so try to go before/after …,POSITIVE,0.9998610019683838,5,2023-08-23 11:38,en,google_map
Kim Khánh Nguyễn,"Sau bao nhiêu năm thì toy vẫn luôn trung thành với 1 quán bán poke duy nhất này. Nguyên liệu luôn fresh, chất lượng, không gian thì dễ chịu.",POSITIVE,0.999850869178772,5,2023-10-18 11:39,vi,google_map
Ho Cong Duc,"Lunch time hơi đông nên muốn enjoy trọn vẹn nên chọn buổi tối. Lần 2 order take awây, chất lượng ổn áp. Sẽ quay lại",POSITIVE,0.9934640526771545,5,2023-11-08 11:39,vi,google_map
Lily in 20s,"Poke ngon nhất ở HCM. Nguyên liệu rất tươi ngon. Bạn nào mới ăn thử có thể chọn combo hoặc nhờ nhân viên tư vấn. Giá hơi cao nhưng phù hợp với chất lượng.; *Điểm trừ duy nhất là vị trí quán nằm ở chung cư cũ nên lối đi lên không sạch sẽ, có mùi ẩm mốc lâu ngày",NEGATIVE,0.6658911108970642,5,2023-06-28 11:39,vi,google_map
Anna Love,"190k/tô đầy ụ, đc chọn topping theo ý thích. Đi thang bộ lên 1 tầng, không gian rộng và thoáng lắm. Gửi xe ở dưới 10k. Nên chọn ăn với salad chứ không là không hết đâu nhen.",POSITIVE,0.9992716908454895,5,2023-06-28 11:39,vi,google_map
34-Mai Vy- 10TH2-6,đồ ăng ngon healthy mà nhân viên phục vụ còn rất thân thiện nhiệt tình nữa,POSITIVE,0.999886155128479,5,2023-11-14 11:39,vi,google_map
Barry B,I order lunch from this place often. The poke bowls are always excellent and I’m always excited to order from here. They use fresh ingredients and I’ve never had a bad experience. This place is legit!,POSITIVE,0.9997425675392151,5,2023-09-20 11:39,en,google_map
Phương Lương Kim,"Món ăn vừa miệng rất ngon , nhân viên nice tận tình với khách hàng mang đến trải nghiệm tuyệt vời . Mọi người ghé ăn thử nhaaaa chứ bản thân mình thấy ngon dữ lắm",POSITIVE,0.999832034111023,5,2023-10-18 11:39,vi,google_map
Loc Dang,"Không gian thoáng đãng, dịch vụ ân cần và nhất là chất lượng món ăn rất tươi và ngon.",POSITIVE,0.999854564666748,5,2023-11-12 11:39,vi,google_map
Adena Wright,"Fantastic lunch spot. The poke bowl was delicious, portions are great, and the service was excellent. The restaurant is pretty spacious and it’s comfortable for a solo meal or dining with friends.",POSITIVE,0.9998817443847656,5,2023-08-23 11:39,en,google_map
Kristina Aleksandrova,One of the best poke I’ve ever tried!; ; We went to this place because of the high rating on Google map and we were so …,POSITIVE,0.9972355961799622,5,2023-04-05 11:39,en,google_map
Ngọc Phùng,"Fresh, good taste dishes and professional staffs; I rarely have Poke but this is absolutely worth it. It is so fresh, good taste, great mixture. When I don’t know what to eat, the staffs are professional and nice to give me some suggestions. Definitely will come back. LOVE IT!!!!",POSITIVE,0.9998788833618164,5,2023-06-28 11:39,en,google_map
Đan Linh Nguyễn Phạm,"My friend is a vegetarian, so it's really nice to come to a place where both of us can enjoy ourselves. I loved their wasabi mayo sauce and my friend loved their falafel.",POSITIVE,0.9997546076774597,5,2023-10-18 11:39,en,google_map
