user,text_review,sentiment_review,sentiment_score,rate,time_visit,language,platform
ngoc t,"Very reasonably priced... salmon or tuna on rice bowl... sauces, fresh vegetable.... my friend is NOT a fan of rice, however, once tasted he really enthused...; Clean, friendly, a must for people that like affordable,clean and healthy food....",POSITIVE,0.995662271976471,5,2016-07-01 00:00,en,tripadvisor
tonypeezy,Saw Saigon Poke on facebook and was of course skeptical since it recently opened its doors. What a pleasant surprise! Im from California so we have some really great Poke restaurants and Saigon Poke is up there with the best. The environment itself is nice and the service is really attentive with the servers offering insight as to what combination suits your pallet most. This is especially important for new Poke consumers. For me Ive had it many times before so I went straight for the Norwegian Imported salmon bowl with spicy mayo and every topping. Salmon was out of this world fresh and went great with the spicy mayo sauce. Overall great experience. Been back twice and will be back often. A+++++,POSITIVE,0.9996671676635742,5,2017-01-01 00:00,en,tripadvisor
Ugo S,"I spent a very pleasant moment in this place, where I ate a very good poké! the food is very fresh and the staff is attentive.",POSITIVE,0.9998345375061036,5,2017-01-01 00:00,en,tripadvisor
EmilyDoan,"My first time trying poke. The restaurant is cute, great decorations and very friendly staffs. You can choose anything you like for toppings or can rely on their helpful staffs for a wonderful combination. Def come back !!!",POSITIVE,0.9998279809951782,5,2017-01-01 00:00,en,tripadvisor
Helene_twi,"Im a huge fan of Poke and have been waiting for a place to get my weekly fix since ive moved to Saigon. Im so glad this place has opened, i have lunch there about twice a week and started to use the delivery service for dinner.; I always get the mix brown rice/salad with salmon and spicy tuna, edamame, cherry tomatoes, radish, avocado and the onsen egg that makes it all so tasty.; The spicy tuna is full of flavour with a kick, the ingredients are always fresh - hits the spot every time!! Also love the upbeat and quick service staff!!; The place is small but charming and comfy, the staff is very friendly, and the service pretty quick!; Value-for-money wise it is definitely better than the poke places i used to go in Singapore. i highly reco this place to all healthy food lovers in HCMC.",POSITIVE,0.9997223019599916,5,2017-02-01 00:00,en,tripadvisor
oliviert677,"I've heard about this address thanks to a friend, the restaurant is hidden on the Main Street into the second floor of the cafe apartment .When you come into Poke Saigon, you're first surprised by the sophisticated decorative and friendly atmosphere. And then you choose how to compose your bowl , the Chef is really helpful. I ve loved the fresh salmon associated to the crispy onions. So much flavors, so much tastes... and in the same time so healthy !!! I think I've composed the best bowl !; Highly recommended ",POSITIVE,0.999829649925232,5,2017-02-01 00:00,en,tripadvisor
I6035QQalexc,This place is legit. I've tried poke all over the world and this place is way better than all of them. The fish is so fresh and clean. I recommend the spicy tuna. Their cold pressed juices are also delicious. This is my new favorite place in HCM.,POSITIVE,0.9998258948326112,5,2017-02-01 00:00,en,tripadvisor
aaronchiang,"First Poke shop in Saigon! Despite being the first, they really do it right. The fish is so fresh and the sauces pair perfectly (spicy mayo!!!) So many toppings and they're delicious! The space itself is cool and chill. Seems geared toward girls who like fresh and healthy food. This is my new go-to spot!",POSITIVE,0.999826729297638,5,2017-02-01 00:00,en,tripadvisor
annpxx,Stumbled across this pretty cafe on the second floor of the cafe apartment. Tried the Chef recommended bowl and was totally surprised. Full of flavours and the ingredients were so fresh and refreshing!! Love the umami from the blend with the sauces! I've tried alot of Poke in Singapore but I think this is handsdown better. What a surprise and will definitely be back for more!,POSITIVE,0.9993863105773926,5,2017-02-01 00:00,en,tripadvisor
vercel,"Fresh and tasteful !!! I could have been in Hawaï ! It was my first Poke since a long time. It's good to finally have the opportunity to get one here in Saigon with fresh product. The staff is kind, helpful, they know their job ! I'll be back for sure; It was great !",POSITIVE,0.999810516834259,5,2017-02-01 00:00,en,tripadvisor
tieuminh2017,"Délicieux ! Une bonne association de poisson frais, d’échalotes, de riz blanc, et des légumes au choix... toute la fraicheur dans un bol rond et appétissant. L'ambiance du restaurant est très agréable, nous avons du mal à quitter les lieux pour affronter à nouveau la chaleur extérieure. Excellent endroit pour un déjeuner après une promenade dans le plus beau quartier de Ho Chi Minh.",POSITIVE,0.9998125433921814,5,2017-02-01 00:00,fr,tripadvisor
Alex_MGB,"A really good discovery. I didn't know poke but I've found it really tasty. I live in Vietnam and it's hard to find places with fresh and healthy products. So definitely a must try if you like raw fish, salads, with a Japanese twist. The shop is also really nice, and the staff is friendly.",POSITIVE,0.9997774958610536,5,2017-02-01 00:00,en,tripadvisor
Jnoel1989,"If you want to eat great food, made from fresh products and for a good price in the heart of Saigon, don't hesitate. We went there with friends and had a great time. To add to the experience, the staff was very welcoming. I will definetely go back next time I visit Saigon.",POSITIVE,0.9997509121894836,5,2017-02-01 00:00,en,tripadvisor
